recordid,nriptr,stratum,cluster,xfact,fips,hydro,mhydro,mlra,bailey,split,impute,impute87,wifact,wcfact,urfact,ukfact,usleflag,s5id,s5name,surftxt,txtmod,loslope,hislope,flood,ophase,tfact
37001040013,249133,37001,4,16,37001,03030002,0303,136,231A,,0,0,86,0,230,0.28,0,NC0018,CECIL,FSL,NON,2,6,NONE,ERODED,4
37001040014,250110,37001,4,16,37001,03030002,0303,136,231A,,0,0,86,0,230,0.24,0,NC0058,HELENA,SL,NON,2,6,NONE,0,4
37001040015,274352,37001,4,2,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,2,6,NONE,ERODED,5
37001040016,214123,37001,4,1,37001,03030002,0303,136,231A,,1,0,0,0,230,0.00,0,DC0038,,,,0,0,NONE,,0
37001040017,250113,37001,4,1,37001,03030002,0303,136,231A,,1,0,86,0,230,0.24,0,NC0058,HELENA,SL,NON,6,10,NONE,0,4
37001040018,215428,37001,4,1,37001,03030002,0303,136,231A,,1,0,180,0,230,0.10,0,FL0051,LEON,S,NON,0,3,NONE,0,5
37001040019,274356,37001,4,1,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,6,10,NONE,ERODED,5
37001040020,274356,37001,4,1,37001,03030002,0303,136,231A,,1,0,56,0,230,0.43,0,SC0017,HERNDON,SIL,NON,6,10,NONE,ERODED,5
37001040021,274175,37001,4,2,37001,03030002,0303,136,231A,,1,2,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,6,10,NONE,ERODED,4
37001040022,274175,37001,4,1,37001,03030002,0303,136,231A,,1,2,48,0,230,0.49,0,SC0014,GEORGEVILLE,SIL,NON,6,10,NONE,ERODED,4
